v8-version,6,1,534,50,0
code-creation,Handler,4,15549,0x3b7ad9039820,296,"An IC handler from the snapshot"
code-creation,Stub,3,15572,0x3b7ad9039960,2307,"RecordWriteStub"
code-creation,Stub,3,15587,0x3b7ad903a280,2254,"RecordWriteStub"
code-creation,Stub,3,15602,0x3b7ad903ab60,185,"DoubleToIStub"
code-creation,Stub,3,15614,0x3b7ad903ac20,2283,"RecordWriteStub"
code-creation,Stub,3,15624,0x3b7ad903b520,978,"RecordWriteStub"
code-creation,Stub,3,15635,0x3b7ad903b900,2257,"RecordWriteStub"
code-creation,Stub,3,15645,0x3b7ad903c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,15656,0x3b7ad903cae0,2241,"RecordWriteStub"
code-creation,Stub,3,15666,0x3b7ad903d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,15677,0x3b7ad903dcc0,972,"RecordWriteStub"
code-creation,Stub,3,15687,0x3b7ad903e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,15698,0x3b7ad903e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,15708,0x3b7ad903eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,15737,0x3b7ad903ee00,974,"RecordWriteStub"
code-creation,Stub,3,15748,0x3b7ad903f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,15767,0x3b7ad903fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,15778,0x3b7ad903fc00,2242,"RecordWriteStub"
code-creation,Stub,3,15788,0x3b7ad90404e0,2241,"RecordWriteStub"
code-creation,Stub,3,15799,0x3b7ad9040dc0,980,"RecordWriteStub"
code-creation,Stub,3,15809,0x3b7ad90411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,15819,0x3b7ad9041280,2266,"RecordWriteStub"
code-creation,Stub,3,15830,0x3b7ad9041b60,183,"DoubleToIStub"
code-creation,Stub,3,15840,0x3b7ad9041c20,2241,"RecordWriteStub"
code-creation,Stub,3,15850,0x3b7ad9042500,986,"RecordWriteStub"
code-creation,Stub,3,15861,0x3b7ad90428e0,2242,"RecordWriteStub"
code-creation,Stub,3,15871,0x3b7ad90431c0,2269,"RecordWriteStub"
code-creation,Stub,3,15882,0x3b7ad9043aa0,2270,"RecordWriteStub"
code-creation,Stub,3,15892,0x3b7ad9044380,2270,"RecordWriteStub"
code-creation,Stub,3,15902,0x3b7ad9044c60,2253,"RecordWriteStub"
code-creation,Stub,3,15912,0x3b7ad9045540,2311,"RecordWriteStub"
code-creation,Stub,3,15923,0x3b7ad9045e60,2326,"RecordWriteStub"
code-creation,Stub,3,15933,0x3b7ad9046780,365,"CEntryStub"
